SALE_TYPE,SOLD_DATE,PROPERTY_TYPE,ADDRESS,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,Per_SQUARE_FEET,HOA_MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-18-2020,Single Family Residential,18 Tudor Ter,Newton,MA,2466,885000,4,1.5,Auburndale,1750,8222,1893,5,506,,Sold,,,http://www.redfin.com/MA/Auburndale/18-Tudor-Ter-02466/home/11443810,MLS PIN,72677779,N,Y,42.3491228,-71.2427112
PAST SALE,November-25-2020,Single Family Residential,11 Colonial Ave,Newton,MA,2460,630000,2,2,Newton,840,5548,1955,28,750,,Sold,,,http://www.redfin.com/MA/Newton/11-Colonial-Ave-02460/home/11414079,MLS PIN,72708855,N,Y,42.3632978,-71.2057702
PAST SALE,December-1-2020,Single Family Residential,211 Crafts St,Newton,MA,2460,1110000,4,2,Newtonville,2428,12650,1880,22,457,,Sold,,,http://www.redfin.com/MA/Newton/211-Crafts-St-02460/home/11421383,MLS PIN,72738217,N,Y,42.3573014,-71.2078587
PAST SALE,December-3-2020,Single Family Residential,77 Otis St,Newton,MA,2460,1670000,5,3.5,Newton,3222,13127,1880,20,518,,Sold,,,http://www.redfin.com/MA/Newton/77-Otis-St-02460/home/11422566,MLS PIN,72735799,N,Y,42.3476978,-71.2103648
PAST SALE,December-17-2020,Single Family Residential,59 Trowbridge Ave,Newton,MA,2460,950000,4,2.5,Newtonville,1869,5699,1931,6,508,,Sold,,,http://www.redfin.com/MA/Newton/59-Trowbridge-Ave-02460/home/11420482,MLS PIN,72743649,N,Y,42.3455692,-71.2031561
PAST SALE,December-18-2020,Single Family Residential,23 Smith Ct,Newton,MA,2465,710000,4,3,West Newton,1904,8716,1880,5,373,,Sold,,,http://www.redfin.com/MA/Newton/23-Smith-Ct-02465/home/11443048,MLS PIN,72736981,N,Y,42.3534023,-71.2340373
PAST SALE,November-30-2020,Single Family Residential,109 High St,Newton,MA,2464,1726000,3,4.5,Newton Upper Falls,3795,29549,1830,23,455,,Sold,,,http://www.redfin.com/MA/Newton/109-High-St-02464/home/11444982,MLS PIN,72733752,N,Y,42.3159466,-71.2236379
PAST SALE,December-7-2020,Single Family Residential,134 Spiers Rd,Newton,MA,2459,1437501,4,3,Oak Hill Park,3262,7009,2020,16,441,,Sold,,,http://www.redfin.com/MA/Newton/134-Spiers-Rd-02459/home/11490918,MLS PIN,72712470,N,Y,42.2904177,-71.1840379
PAST SALE,December-22-2020,Single Family Residential,107 Mary Ellen Rd,Newton,MA,2468,1736000,4,3,Waban,3499,12300,1950,1,496,,Sold,,,http://www.redfin.com/MA/Waban/107-Mary-Ellen-Rd-02468/home/11450147,MLS PIN,72735504,N,Y,42.3368364,-71.2185097
PAST SALE,December-17-2020,Single Family Residential,19 Shute Path,Newton,MA,2459,1770000,5,5.5,Newton Center,5100,7000,2020,6,347,,Sold,,,http://www.redfin.com/MA/Newton/19-Shute-Path-02459/home/11490909,MLS PIN,72730212,N,Y,42.290928,-71.1841423
